ACCESSION_NUMBER	OWNERSIGNATURENAME	OWNERSIGNATUREDATE
0001737443-25-000008	/s/ Paul Maple, Attorney-in-Fact for Frederick Stanford	31-DEC-2025
0001737439-25-000004	/s/ Paul Maple	31-DEC-2025
0001072796-25-000006	/s/ Paul Maple, Attorney-in-Fact for Clay M. Whitson	31-DEC-2025
0000950103-25-016847	/s/ Stephen Zamansky, Attorney-in-Fact	31-DEC-2025
0001213900-25-127175	/s/ Paul Ciullo	31-DEC-2025
0001213900-25-127174	/s/ Michel Amar	31-DEC-2025
0001213900-25-127173	/s/ Gerard Rotonda	31-DEC-2025
0000950103-25-016846	/s/ Stephen Zamansky, Attorney-in-Fact	31-DEC-2025
0001954770-25-000005	/s/ Paul Maple, Attorney-in-Fact for Christopher Laisure	31-DEC-2025
0001213900-25-127172	/s/ Alec Amar	31-DEC-2025
0001920053-25-000011	Diana Scherer, Attorney-in-Fact	31-DEC-2025
0001213900-25-127171	/s/ Adam Rossman	31-DEC-2025
0001644557-25-000010	Diana Scherer, Attorney-in-Fact	31-DEC-2025
0000950103-25-016845	/s/ Stephen Zamansky, Attorney-in-Fact	31-DEC-2025
0001856906-25-000015	/s/ Lisa Storey, Attorney-in-fact	31-DEC-2025
0000950103-25-016844	/s/ Stephen Zamansky	31-DEC-2025
0001140361-25-047117	/s/ Mary Owen	31-DEC-2025
0001140361-25-047116	/s/ Kimberly Schaefer	31-DEC-2025
0001140361-25-047115	/s/ Eric Hess	31-DEC-2025
0001140361-25-047114	/s/ Barbara Anne Graffice	31-DEC-2025
0001140361-25-047113	/s/ Karl Holz	31-DEC-2025
0001140361-25-047112	/s/ Lisa Gould	31-DEC-2025
0001140361-25-047111	/s/ David Dennis	31-DEC-2025
0001140361-25-047110	/s/ John Van Buiten	31-DEC-2025
0001140361-25-047109	/s/ Anthony J. Buzzelli	31-DEC-2025
0001140361-25-047108	/s/ Marcus Allen LaMarr	31-DEC-2025
0001193125-25-338475	/s/ Kenneth Yi, as Attorney-in-Fact for Philipp Schindler	31-DEC-2025
0000887343-25-000284	/s/ Andrea M. Newburn, Attorney-in-fact	31-DEC-2025
0000947871-25-001100	/s/ Michael C. Parker	31-DEC-2025
0001096906-25-002191	/s/ Jason G. Overbaugh	31-DEC-2025
0001628280-25-059248	/s/ D. Joseph Meister, attorney-in-fact	31-DEC-2025
0000887343-25-000282	/s/ Andrea M. Newburn, Attorney-in-fact	31-DEC-2025
0002074298-25-000004	/s/ Adam Eltoukhy, attorney-in-fact on behalf of Benjamin Louis Kirchhoff	31-DEC-2025
0001895111-25-000011	/s/ Adam Eltoukhy, attorney-in-fact on behalf of Sanjit Biswas	31-DEC-2025
0000058492-25-000701	/s/ Stanley Scott Luton, attorney-in-fact	31-DEC-2025
0001769628-25-000134	/s/ Nisha Antony, as Attorney-in-Fact	31-DEC-2025
0001895106-25-000011	/s/ Adam Eltoukhy, attorney-in-fact on behalf of John Bicket	31-DEC-2025
0001769628-25-000132	/s/ Nisha Antony, as Attorney-in-Fact	31-DEC-2025
0000058492-25-000700	/s/ Stanley Scott Luton, attorney-in-fact	31-DEC-2025
0000058492-25-000699	/s/ Stanley Scott Luton, attorney-in-fact	31-DEC-2025
0000058492-25-000698	/s/ Stanley Scott Luton, attorney-in-fact	31-DEC-2025
0000058492-25-000697	/s/ Stanley Scott Luton, attorney-in-fact	31-DEC-2025
0000058492-25-000696	/s/ Stanley Scott Luton, attorney-in-fact	31-DEC-2025
0000058492-25-000695	/s/ Stanley Scott Luton, attorney-in-fact	31-DEC-2025
0001493152-25-029866	Opaleye Management Inc., By: /s/ James Silverman, President	31-DEC-2025
0001628280-25-059246	/s/ Jeffrey M. Thompson	31-DEC-2025
0000058492-25-000694	/s/ Stanley Scott Luton, attorney-in-fact	31-DEC-2025
0001666120-25-000100	/s/ Veena Bhatia, Attorney-in-Fact for Cannon-Brookes Michael	31-DEC-2025
0001666121-25-000102	/s/ Veena Bhatia, Attorney-in-Fact for Farquhar Scott	31-DEC-2025
0001032385-25-000005	/s/ David J. Lubar	31-DEC-2025
0001437749-25-039101	/s/ Roger E. Kahn	31-DEC-2025
0001193125-25-338435	/s/ Fadillah Badar, as Attorney-in-Fact for Frances H. Arnold	31-DEC-2025
0001493152-25-029856	Pine Investor, LLC, By: /s/ Alexander D. Benjamin	31-DEC-2025
0001493152-25-029856	Cerberus Capital Management, L.P., By: /s/ Alexander D. Benjamin	31-DEC-2025
0001193125-25-338422	/s/ Michael Penney, as Attorney-in-Fact	31-DEC-2025
0001193125-25-338420	/s/ Cathy Behnen, as Attorney-in-Fact	31-DEC-2025
0001059953-25-000006	/s/ Ashley Wright, Attorney-in-Fact	31-DEC-2025
0001658784-25-000006	/s/ Ashley Wright, Attorney-in-Fact	31-DEC-2025
0001193125-25-338415	/s/ Bruce Jacobs, as Attorney-in-Fact	31-DEC-2025
0001862601-25-000011	/s/ Ashley Wright, Attorney-in-Fact	31-DEC-2025
0001280263-25-000074	By: /s/ Michael Morehead, Attorney-in-Fact For: Chi-Hong Ju	31-DEC-2025
0001848881-25-000005	/s/ Ashley Wright, Attorney-in-Fact	31-DEC-2025
0001072613-25-000885	/s/ Phil E. Mulacek	31-DEC-2025
0001827696-25-000004	/s/ Ashley Wright, Attorney-in-Fact	31-DEC-2025
0001193125-25-338411	/s/ Adam Rappaport	31-DEC-2025
0001758614-25-000019	/s/ Teri L. Witteman, as Attorney-In-Fact for Ethan Brown	31-DEC-2025
0001193125-25-338409	/s/ Thomas E. Polen, Jr.	31-DEC-2025
0001903968-25-000007	/s/Boyd Chapin, Attorney-in-Fact	31-DEC-2025
0001678505-25-000010	/s/ Patrick Craine, Attorney-in-Fact	31-DEC-2025
0001189793-25-000012	/s/Boyd Chapin, Attorney-in-Fact	31-DEC-2025
0001193125-25-338400	/s/ Vitor Roque	31-DEC-2025
0001837149-25-000007	/s/Boyd Chapin, Attorney-in-Fact	31-DEC-2025
0002074161-25-000005	/s/ Kang-Huai (Johnny) Wang, Attorney-in-Fact for Michele Harari	31-DEC-2025
0001235498-25-000007	/s/ Kang-Huai (Johnny) Wang, Attorney-in-Fact for Julia S. Gouw	31-DEC-2025
0002075511-25-000005	/s/ Kang-Huai (Johnny) Wang, Attorney-in-Fact for Joanne Imperial	31-DEC-2025
0002074258-25-000005	/s/ Kang-Huai (Johnny) Wang, Attorney-in-Fact for Wen-Herng Henry King	31-DEC-2025
0001493152-25-029843	/s/ Gary Lu	31-DEC-2025
0001493152-25-029842	/s/ Zackary S. Irani	31-DEC-2025
0001493152-25-029841	/s/ Allen Barbieri	31-DEC-2025
0001493152-25-029840	/s/ Gary Huff	31-DEC-2025
0001493152-25-029839	/s/ David Moatazedi	31-DEC-2025
0002074262-25-000005	/s/ Kang-Huai (Johnny) Wang, Attorney-in-Fact for Hui Ying Kuo	31-DEC-2025
0001307275-25-000009	/s/ Kang-Huai (Johnny) Wang, Attorney-in-Fact for Tsai Chen Lung	31-DEC-2025
0001415303-25-000010	/s/Boyd Chapin, Attorney-in-Fact	31-DEC-2025
0001115055-25-000235	/s/ Richard D. Callicut, II	31-DEC-2025
0002021854-25-000025	/s/ Jongmin Char, as attorney-in-fact for Brian Read	31-DEC-2025
0001115055-25-000234	/s/ Charissa D. Sumerlin	31-DEC-2025
0001225471-25-000006	/s/ George L. Sing	31-DEC-2025
0001193125-25-338393	/s/ Patrick Devine, as Attorney-in-Fact	31-DEC-2025
0001193125-25-338392	/s/ Patrick Devine, as Attorney-in-Fact	31-DEC-2025
0000840489-25-000141	/s/ Rick L. Wessel	31-DEC-2025
0001232893-25-000005	/s/ Roland O. Burns	31-DEC-2025
0001232890-25-000006	/s/ Roland O. Burns, attorney-in-fact for Mr. Allison	31-DEC-2025
0002075704-25-000021	/s/ Cara Angelmar, Attorney-in-Fact	31-DEC-2025
0001548312-25-000047	/s/ Jeffrey E. Eberwein	31-DEC-2025
0001628280-25-059242	/s/ William Greenberg	31-DEC-2025
0001213900-25-127153	/s/ Clinton J. Weber	31-DEC-2025
0001104659-25-125652	/s/ Stephanie Darling, Power of Attorney for Andrew Dakos	31-DEC-2025
0001493152-25-029832	/s/ Joseph A. Farnsworth	31-DEC-2025
0001493152-25-029831	/s/ David H. Ly	31-DEC-2025
0001493152-25-029830	/s/ Alejandro L. Franco	31-DEC-2025
0001493152-25-029829	/s/ Robert D. Gillen	31-DEC-2025
0001493152-25-029828	/s/ Robert J Brilon	31-DEC-2025
0001213900-25-127151	/s/ Clinton J. Weber	31-DEC-2025
0001193125-25-338389	/s/ Anthony M. Robinson, for P. Barrett Brown, per Power of Attorney	31-DEC-2025
0001193125-25-338388	/s/ J. Powell Brown	31-DEC-2025
0001213900-25-127149	/s/ Anastasiia Kotaieva	31-DEC-2025
0001193125-25-338387	/s/ J. Hyatt Brown	31-DEC-2025
0001193125-25-338386	/s/ Cathy Behnen, as Attorney-in-Fact	31-DEC-2025
0000909832-25-000173	/s/ Alejandro Torres, Attorney-in-Fact	31-DEC-2025
0001437749-25-039097	/s/ Sam Levinson	31-DEC-2025
0001193125-25-338384	/s/ Stephanie M. Kelly,  Chief Securities and  Governance Counsel,  Corporate Secretary	31-DEC-2025
0001437749-25-039096	/s/ Hendi Susanto	31-DEC-2025
0001657175-25-000005	/s/ Linda B. Kalayjian, by POA from John C. Inglis	31-DEC-2025
0001064299-25-000004	/s/ Ronald J. Mittelstaedt	31-DEC-2025
0001193125-25-338369	/s/ Margaret Hayne	31-DEC-2025
0001817756-25-000007	/s/ Sarah Kim, Attorney-in-Fact for Michael Colglazier	31-DEC-2025
0001193125-25-338366	/s/ Richard A. Hayne	31-DEC-2025
0001589800-25-000007	/s/ Sarah Kim, Attorney-in-Fact for Douglas T.  Ahrens	31-DEC-2025
0001140361-25-047067	/s/ William E. McDonald, attorney-in-fact	31-DEC-2025
0000109380-25-000144	By Rena Miller as attorney in fact	31-DEC-2025
0001193125-25-338363	/s/ Dean Caruvana, Attorney-in-Fact	31-DEC-2025
0000109380-25-000143	By Rena Miller as attorney in fact	31-DEC-2025
0000109380-25-000142	By Rena Miller as attorney in fact	31-DEC-2025
0000109380-25-000141	By Rena Miller as attorney in fact	31-DEC-2025
0001916877-25-000009	/s/ Sarah Kim, Attorney-in-Fact for Aparna Chitale	31-DEC-2025
0001785797-25-000004	Kelly D. Waters, as Attorney-in-Fact for John D. Baker III	31-DEC-2025
0001982604-25-000009	/s/ Blaise F. Brennan (POA on file)	31-DEC-2025
0001193125-25-338341	Christopher G. Cobb, Attorney in Fact for James S. Ely III	31-DEC-2025
0001193125-25-338340	/s/ Dean Caruvana, Attorney-in-Fact	31-DEC-2025
0001437749-25-039090	/s/ Jay Itzkowitz	31-DEC-2025
0000091419-25-000108	/s/ Jeannette L. Knudsen, POA	31-DEC-2025
0001493152-25-029816	/s/ Christopher Marlett	31-DEC-2025
0000905148-25-004511	/s/ Amy Rabourn, by Power of Attorney	31-DEC-2025
0001413999-25-000004	/s/ Ryan Saum, Attorney-in-Fact	31-DEC-2025
0001414109-25-000014	/s/ Jason B. Beauvais, Attorney-in-Fact	31-DEC-2025
0001430423-25-000003	/s/ Richard D. Peterson	31-DEC-2025
0001492959-25-000006	/s/ Stephen Donaghy	31-DEC-2025
0001287040-25-000007	/s/ Sean P. Downes	31-DEC-2025
0001654954-25-014434	/s/ Quentin Markin	30-DEC-2025
0001214659-25-018715	/s/ George Zweier	31-DEC-2025
0002050167-25-000007	/s/ Courtney Phillips, as attorney-in-fact	31-DEC-2025
0002050172-25-000007	/s/ Courtney Phillips, as attorney-in-fact	31-DEC-2025
0001628280-25-059227	/s/ David T. Shapiro, by power of attorney	31-DEC-2025
0001104659-25-125622	CCH II, LLC By: Jennifer A. Smith, Vice President /s/ Jennifer A. Smith	31-DEC-2025
0001104659-25-125622	Charter Communications Holdings, LLC By: Jennifer A. Smith, Vice President /s/ Jennifer A. Smith	31-DEC-2025
0001104659-25-125622	Charter Communications, Inc. By: Jennifer A. Smith, Vice President /s/ Jennifer A. Smith	31-DEC-2025
0001104659-25-125622	Spectrum Management Holding Company, LLC By: Jennifer A. Smith, Vice President /s/ Jennifer A. Smith	31-DEC-2025
0001104659-25-125622	Charter Communications Holding Company, LLC By: Jennifer A. Smith, Vice President /s/ Jennifer A. Smith	31-DEC-2025
0002050422-25-000007	/s/ Courtney Phillips, as attorney-in-fact	31-DEC-2025
0001628280-25-059226	/s/ Sung Bum Cho, as Attorney-in-Fact	31-DEC-2025
0001855767-25-000051	/s/ Brad Brubaker, Attorney-in-Fact	31-DEC-2025
0001628280-25-059225	/s/ Sung Bum Cho, as Attorney-in-Fact	31-DEC-2025
0001628280-25-059224	/s/ Sung Bum Cho, as Attorney-in-Fact	31-DEC-2025
0001437749-25-039086	/s/ Barry M. Gosin	31-DEC-2025
0001193125-25-338326	/s/ Traci S. Umberger	31-DEC-2025
0002053840-25-000003	/s/ James Nevin, Attorney-in-Fact	31-DEC-2025
0001916605-25-000009	/s/ James Nevin, Attorney-in-Fact	31-DEC-2025
0001437749-25-039084	/s/ Teresa M. Nilsen, Attorney-in-Fact for Kiera M. Newton	31-DEC-2025
0001666120-25-000099	/s/ Veena Bhatia, Attorney-in-Fact for Cannon-Brookes Michael	31-DEC-2025
0001628280-25-059223	/s/ Sung Bum Cho, as Attorney-in-Fact	31-DEC-2025
0000906107-25-000011	/s/ Samantha Thompson, Attorney-in-fact	31-DEC-2025
0001493152-25-029800	/s/ Kathryn Arnold	31-DEC-2025
0001666121-25-000101	/s/ Veena Bhatia, Attorney-in-Fact for Farquhar Scott	31-DEC-2025
0001193125-25-338324	By: /s/ Mitchell P. Rales	31-DEC-2025
0001683168-25-009454	/s/ Eric Hanson, as attorney-in-fact	31-DEC-2025
0001683168-25-009453	/s/ Eric Hanson, as attorney-in-fact	31-DEC-2025
0001683168-25-009452	/s/ Eric Hanson, as attorney-in-fact	31-DEC-2025
0001683168-25-009451	/s/ Eric Hanson, as attorney-in-fact	31-DEC-2025
0001683168-25-009450	/s/ Eric Hanson, as attorney-in-fact	31-DEC-2025
0001683168-25-009449	/s/ Eric Hanson, as attorney-in-fact	31-DEC-2025
0001683168-25-009448	/s/ Eric Hanson, as attorney-in-fact	31-DEC-2025
0001193125-25-338322	/s/ Brian Daniel Webster	31-DEC-2025
0001628280-25-059222	/s/ Sung Bum Cho, as Attorney-in-Fact	31-DEC-2025
0001437749-25-039082	/s/ Virginia S. Bauer	31-DEC-2025
0001628280-25-059221	/s/ Sung Bum Cho, as Attorney-in-Fact	31-DEC-2025
0001480560-25-000016	/s/Kathryn Leach, Attorney-in-Fact for Leon Trefler	31-DEC-2025
0001072627-25-000053	/s/ Robert E. Buckner II, attorney-in-fact for Kent A. Hansen	31-DEC-2025
0001437749-25-039079	/s/ Kenneth A. McIntyre, Jr.	31-DEC-2025
0001638826-25-000051	/s/ Olive Huang, Attorney-in-Fact	31-DEC-2025
0001628280-25-059220	/s/ Sung Bum Cho, as Attorney-in-Fact	31-DEC-2025
0001789940-25-000096	/s/ Jay Wolszczak, as attorney-in-fact	31-DEC-2025
0001772928-25-000007	/s/ Irving Gomez, as Attorney-in-Fact, for Dan Alexandru Solomon	31-DEC-2025
0001628280-25-059219	/s/ Sung Bum Cho, as Attorney-in-Fact	31-DEC-2025
0001331875-25-000171	FIDELITY NATIONAL FINANCIAL, INC By: /s/Michael L. Gravelle Executive Vice President, General Counsel and Corporate Secretary	31-DEC-2025
0001789940-25-000095	/s/ Jay Wolszczak, as attorney-in-fact	31-DEC-2025
0001493152-25-029796	/s/ Phillip Frost, MD ET AL	31-DEC-2025
0001683168-25-009447	/s/ Robert Lowry	31-DEC-2025
0001683168-25-009446	/s/ Sanford Rich	31-DEC-2025
0001683168-25-009445	/s/ Allan Evans	31-DEC-2025
0001805284-25-000174	/s/ Elisabeth Gormley, attorney in fact	31-DEC-2025
0001311081-25-000003	/s/ Christopher Clemente	31-DEC-2025
0001638826-25-000049	/s/ Olive Huang, Attorney-in-Fact	31-DEC-2025
0001613709-25-000004	/s/ Erik Hellum	31-DEC-2025
0001818383-25-000193	/s/ Jeffrey B. Coyne	31-DEC-2025
0001494259-25-000041	/s/ Suzanne Murray, as attorney-in-fact	31-DEC-2025
0001104659-25-125606	Liberty Broadband Corporation. By: /s/ Craig Troyer. Name: Craig Troyer, Title: Senior Vice President	31-DEC-2025
0001818383-25-000192	/s/ Jeffrey B. Coyne	31-DEC-2025
0001565687-25-000167	/s/ Brian Grube, Attorney-in-Fact	31-DEC-2025
0001628280-25-059216	/s/ Christy Lombardi, Attorney in Fact for James M. Burke	29-DEC-2025
0001565687-25-000166	/s/ Brian Grube, Attorney-in-Fact	31-DEC-2025
0001628280-25-059214	/s/ Christy Lombardi	31-DEC-2025
0001213900-25-127110	/s/ Matthew K. Szot	31-DEC-2025
0001493152-25-029786	/s/ Chris Anthony	31-DEC-2025
0001493152-25-029785	/s/ Steve Fambro	31-DEC-2025
0001493152-25-029783	/s/ Tom DaPolito	31-DEC-2025
0001493152-25-029782	/s/ David Thomas	31-DEC-2025
0001193125-25-338296	/s/ Brian Savage, Attorney-in-fact	31-DEC-2025
0001628280-25-059210	/s/ Christy Lombardi, Attorney in Fact for Virginia M. Anderson	31-DEC-2025
0001628280-25-059207	/s/ Christy Lombardi, Attorney in Fact for Talal Tay	31-DEC-2025
0001437749-25-039069	/s/ Lisa K. Christen, as Attorney-In-Fact	31-DEC-2025
0001628280-25-059203	/s/ Christy Lombardi, Attorney in Fact for Donna J. Stevens	31-DEC-2025
0001104659-25-125597	/s/ Stephen S. Sypherd, Attorney-in-Fact	31-DEC-2025
0000919574-25-007530	FINE CAPITAL ADVISORS, LLC, By: /s/ Debra Fine, Debra Fine, Manager	31-DEC-2025
0000919574-25-007530	FINE CAPITAL PARTNERS, L.P., By: Fine Capital Advisors, LLC, its general partner, By: /s/ Debra Fine, Debra Fine	31-DEC-2025
0000919574-25-007530	DEBRA FINE /s/ Debra Fine	31-DEC-2025
0001213900-25-127095	Barry M. Gosin	31-DEC-2025
0001628280-25-059198	/s/ Ariel E. Greenstein, Attorney-in-Fact for Joshua D. Schmidt	31-DEC-2025
0001628280-25-059196	/s/ Ariel E. Greenstein, Attorney-in-Fact for Lawrence Liren Chen	31-DEC-2025
0001493152-25-029776	/s/ Mitchell Rudy	31-DEC-2025
0001140361-25-047051	MASSACHUSETTS MUTUAL LIFE INSURANCE COMPANY, By: /s/ Jaime Genua, Name: Jaime Genua, Title: Assistant Secretary	31-DEC-2025
0001185533-25-000018	Douglas R. Jamieson as Attorney-in-Fact for Mario J. Gabelli	31-DEC-2025
0001463247-25-000039	Penko Ivanov, Attorney in Fact	31-DEC-2025
0001096906-25-002185	/s/ Andrew Quist	31-DEC-2025
0001463247-25-000036	Penko Ivanov, Attorney in Fact	31-DEC-2025
0002030612-25-000003	/s/ Zarrell T. Gray	31-DEC-2025
0002001522-25-000009	Marci K. Donnelly, Attorney-in-Fact	31-DEC-2025
0001193125-25-338190	/s/ Frank Martell	31-DEC-2025
0001104659-25-125585	/s/ Joseph W. Pooler, Jr., as attorney-in-fact	31-DEC-2025
0001254011-25-000004	Anastasia Thomas Nardangeli, Esq., on behalf of J. Duncan Smith, by Power of Attorney	31-DEC-2025
0001628280-25-059189	Bradley T. Wiemann	31-DEC-2025
0001193125-25-338156	Omar Z. Idilby	31-DEC-2025
0001096906-25-002179	/s/ Garrett S. Sill	31-DEC-2025
0001437749-25-039050	/s/ Fred G. Choate, Jonathan D. Hill, Power of Attorney	31-DEC-2025
0001193125-25-338075	LIBERTY MUTUAL HOLDING COMPANY, By: /s/Damon Hart, Executive Vice President	31-DEC-2025
0001193125-25-338073	/s/ Matthieu Milgrom, as attorney-in-fact	31-DEC-2025
0001193125-25-338072	/s/ Matthieu Milgrom, as attorney-in-fact	31-DEC-2025
0001178913-25-004151	/s/ Mirit Horenshtein Hadar, Attorney-in-fact	31-DEC-2025
0001178913-25-004149	/s/ Mirit Horenshtein Hadar, Attorney-in-fact	31-DEC-2025
0001178913-25-004147	/s/ Mirit Horenshtein Hadar, Attorney-in-fact	31-DEC-2025
0001178913-25-004145	/s/ Mirit Horenshtein Hadar, Attorney-in-fact	31-DEC-2025
0001178913-25-004143	/s/ Mirit Horenshtein Hadar, Attorney-in-fact	31-DEC-2025
0001037868-25-000110	/s/ Lynn Carino, attorney-in-fact for Ms. Oberton	31-DEC-2025
0000063754-25-000122	Jason E. Wynn, Attorney-in-Fact	31-DEC-2025
0001835544-25-000006	/s/Chidozie Ugwumba	31-DEC-2025
0001437749-25-039037	/s/ Jack C. Sheppard Jr., Jonathan D. Hill, Power of Attorney	31-DEC-2025
0002003247-25-000006	/s/Marc A. De Oliveira by Power of Attorney for Brent Jenkins	31-DEC-2025
0001103646-25-000020	Mitchell R Bialek, CCO, on behalf of CSS, LLC	31-DEC-2025
0000063754-25-000120	Jason E. Wynn, Attorney-in-fact	31-DEC-2025
0000901484-25-000010	/s/Kemble D. Morrison Attorney in fact for Patrizio Vinciarelli	30-DEC-2025
0001437749-25-039034	/s/ Arret F. Dobson, Jonathan D. Hill, Power of Attorney	31-DEC-2025
0000891014-25-000184	/s/ Timothy Jordan for DJ Monagle III	31-DEC-2025
0001437749-25-039032	/s/ Jay Kesslen, attorney-in-fact	31-DEC-2025
0001193125-25-337809	PLATINUM FALCON B 2018 RSC LIMITED, Name: /s/ Ahmed Salem Abdulla AlNeyadi, Title: Authorized Signatory, Name: /s/ Mubarak Awad Qanazel AlAmeri, Title: Authorized Signatory	31-DEC-2025
0001193125-25-337809	PLATINUM INTERNATIONAL INVESTMENT HOLDINGS RSC LIMITED, Name: /s/ Ahmed Salem Abdulla AlNeyadi, Title: Authorized Signatory, Name: /s/ Mubarak Awad Qanazel AlAmeri, Title: Authorized Signatory	31-DEC-2025
0001193125-25-337809	ABU DHABI INVESTMENT AUTHORITY, Name: /s/ Hamad Shahwan AlDhaheri, Title: Authorized Signatory, Name: /s/ Saif Surour AlMashghouni, Title:  Authorized Signatory	31-DEC-2025
0001193125-25-337809	PLATINUM BIRD C 2024 RSC LIMITED, Name: /s/ Ahmed Salem Abdulla AlNeyadi, Title:  Authorized Signatory, Name:  /s/ Mubarak Awad Qanazel AlAmeri, Title:  Authorized Signatory	31-DEC-2025
0001437749-25-039028	/s/Steve Hightower	31-DEC-2025
0001406572-25-000003	/s/ Whitney Elliott, Attorney-in-Fact	31-DEC-2025
0001437749-25-039025	/s/ Victor L. Cangelosi, pursuant to power of attorney	30-DEC-2025
0001477932-25-009270	/s/ Vighnesh Dobale	31-DEC-2025
0001437749-25-039024	/s/ Victor L. Cangelosi, pursuant to power of attorney	30-DEC-2025
0001437749-25-039023	/s/ Victor L. Cangelosi, pursuant to power of attorney	30-DEC-2025
0001437749-25-039022	/s/ Victor L. Cangelosi, pursuant to power of attorney	30-DEC-2025
0001437749-25-039021	/s/ Victor L. Cangelosi, pursuant to power of attorney	30-DEC-2025
0001477932-25-009268	/s/ Vighnesh Dobale	31-DEC-2025
0001437749-25-039020	/s/ Victor L. Cangelosi, pursuant to power of attorney	30-DEC-2025
0001437749-25-039019	/s/ Victor L. Cangelosi, pursuant to power of attorney	30-DEC-2025
0001437749-25-039018	/s/ Victor L. Cangelosi, pursuant to power of attorney	30-DEC-2025
0001437749-25-039017	/s/ Victor L. Cangelosi, pursuant to power of attorney	30-DEC-2025
0001437749-25-039016	/s/ Victor L. Cangelosi, pursuant to power of attorney	30-DEC-2025
0001437749-25-039015	/s/ Victor L. Cangelosi, pursuant to power of attorney	30-DEC-2025
0001437749-25-039014	/s/Jay Kesslen, attorney-in-fact	31-DEC-2025
0001437749-25-039011	/s/Jay Kesslen, attorney-in-fact	31-DEC-2025
0001594986-25-000044	/s/ Sajal K. Srivastava	31-DEC-2025
0001594983-25-000046	/s/ James P. Labe	31-DEC-2025
0000063754-25-000117	Jason E. Wynn, Attorney-in-fact	31-DEC-2025
0001213900-25-126863	/s/ Anastasiia Kotaieva	29-DEC-2025
0001437749-25-039007	/s/Russell Grimaldi	31-DEC-2025
0001437749-25-039006	/s/Jay Kesslen	31-DEC-2025
0001193125-25-337715	/s/Angelique Strong Marks, as Attorney-in-Fact for Tobias Hartmann	31-DEC-2025
0001437749-25-039003	/s/Jack Heilbron	31-DEC-2025
0000708955-25-000126	/s/ Maria Hinkel, POA	31-DEC-2025
0001657070-25-000026	/s/ Donald T. Gardner III, Attorney-in-fact	31-DEC-2025
0001628280-25-059166	/s/ Gianas Randy Harrison, as Attorney-in-Fact	31-DEC-2025
0001437749-25-038999	/s/Edwin Bentzen	31-DEC-2025
0001437749-25-038998	/s/Gary Katz	31-DEC-2025
0001753926-25-002003	/s/ Anthony Baldor, Attorney-in-fact	31-DEC-2025
0001840036-25-000006	Cheryl L. Emory, Assistant Corporate Secretary, POA for Jackson, Stephon A.	31-DEC-2025
0001193125-25-337680	/s/ Henry Ji, Scilex Holding Company, Chief Executive Officer, President and Chairperson	31-DEC-2025
0000807249-25-000183	/s/ Douglas R. Jamieson, Attorney-In-Fact for MARIO J. GABELLI	31-DEC-2025
0001553895-25-000013	/s/ Melissa Glass, on behalf of Michael Patsalos-Fox, by Power of Attorney	31-DEC-2025
0001178913-25-004136	Y.D. More Investments Ltd, By: /s/ Nina Tzur, Chief Risk Officer & Chief Compliance Officer	31-DEC-2025
