ACCESSION_NUMBER	NONDERIV_HOLDING_SK	SECURITY_TITLE	SECURITY_TITLE_FN	TRANS_FORM_TYPE	TRANS_FORM_TYPE_FN	SHRS_OWND_FOLWNG_TRANS	SHRS_OWND_FOLWNG_TRANS_FN	VALU_OWND_FOLWNG_TRANS	VALU_OWND_FOLWNG_TRANS_FN	DIRECT_INDIRECT_OWNERSHIP	DIRECT_INDIRECT_OWNERSHIP_FN	NATURE_OF_OWNERSHIP	NATURE_OF_OWNERSHIP_FN
0001193125-25-338435	2851378	Class C Google Stock Units	F4			1767.0				D			
0001059953-25-000006	2851332	Common Stock				4583.0				I		By Pereg Holdings, LLC	
0001280263-25-000074	2851466	Ordinary Shares				8000.0				I		by Foundation	
0001072613-25-000885	2851463	Common Stock				526300.0				I		By Big Red Revocable Trust	
0001072613-25-000885	2851464	Common Stock				485202.0				I		By Five Sterling LP	
0001072613-25-000885	2851462	Common Stock				817262.0				I		By Petroleum Independent & Exploration LLC	
0001072613-25-000885	2851465	Common Stock				42833.0				I		By spouse	
0001827696-25-000004	2851379	No securities beneficially owned				0.0				D			
0001758614-25-000019	2851367	Common Stock				639881.0				I		Owned by the Brown Asset Holding LLC, which is wholly owned by the Ethan Brown 2022 GRAT.	
0001115055-25-000235	2851346	Depositary Shares	F2			6000.0				D			
0001225471-25-000006	2851494	Common Stock				1000.0				I		by Trust for Son	
0001225471-25-000006	2851493	Common Stock				400.0				I		by Spouse/Cust Son	
0001225471-25-000006	2851492	Common Stock				750.0				I		by Spouse	
0001628280-25-059242	2851555	Common stock, par value $0.01 per share				3025.0	F3			I		By Spouse	
0001104659-25-125652	2851401	Common Stock				782.0				I	F3	By Minor Children	
0001104659-25-125652	2851400	Common Stock				4880.0				I	F2	By Spouse	
0001193125-25-338389	2851513	Common Stock, $.10 par value				2324.0				I			
0001193125-25-338389	2851512	Common Stock, $.10 par value				10922.0	F4			I			
0001193125-25-338389	2851511	Common Stock, $.10 par value  (2019 SIP)				66479.0	F3			D		Children	F5
0001193125-25-338389	2851510	Common Stock, $.10 par value				1351419.0	F2			D		401k	
0001193125-25-338388	2851358	Common Stock, $.10 par value  (2019 SIP)				221847.0	F3			D		Children	F7
0001193125-25-338388	2851357	Common Stock, $.10 par value				2812487.0	F2			D		401k	
0001193125-25-338388	2851359	Common Stock, $.10 par value  (2010 SIP)				299264.0	F4			D			
0001193125-25-338388	2851360	Common Stock, $.10 par value (PSP)				32000.0	F5			D			
0001193125-25-338388	2851361	Common Stock, $.10 par value				43121.0	F6			I			
0001193125-25-338388	2851362	Common Stock, $.10 par value				32241.0				I			
0001193125-25-338387	2851441	Common Stock, $.10 par value				35997546.0				I		Limited Partnership	F2
0001437749-25-039097	2851417	Special Voting Stock	F4			1362039.0				I		By Trapeze D Holdings LLC, a Delaware limited liability company	
0001437749-25-039097	2851416	Special Voting Stock	F4			4464692.0				I		By Trapeze Inc., a Delaware corporation	
0001437749-25-039097	2851415	Common Stock				128185.0				I		By ECL Holdings LLC, a Delaware limited liability company	
0001437749-25-039097	2851414	Common Stock				136782.0				I		By Trapeze D Holdings LLC, a Delaware limited liability company	
0001437749-25-039097	2851418	Special Voting Stock	F4			1469548.0				I		By ECL Holdings LLC, a Delaware limited liability company	
0001437749-25-039097	2851413	Common Stock				1253016.0				I		By Trapeze Inc., a Delaware corporation	
0001193125-25-338384	2851369	Common Stock, par value $0.01 per share				1000.0				D			
0001193125-25-338369	2851341	Common Shares				17771931.0				I	F7	By Spouse through Profit Sharing Fund (401(k)) Plan	
0001193125-25-338369	2851342	Common Shares				23481.0				I	F3	By Spouse as Trustee	
0001193125-25-338369	2851343	Common Shares				185573.0				I	F3	By Hayne Foundation	
0001193125-25-338369	2851340	Common Shares				2597268.0				I	F6	By Spouse	
0001193125-25-338369	2851344	Common Shares				35140.0				I	F3		
0001193125-25-338369	2851339	Common Shares				11300.0				I	F3	By Trust	
0001193125-25-338369	2851338	Common Shares				1176273.0				D		By Profit Sharing Fund (401(k)) Plan	
0001817756-25-000007	2851434	Common Stock				1692.0				I		By Family Trust for Son 1	
0001817756-25-000007	2851433	Common Stock				15892.0				I		By Family Revocable Trust	
0001817756-25-000007	2851435	Common Stock				1692.0				I		By Family Trust for Son 2	
0001193125-25-338366	2851396	Common Shares				35140.0				I	F3	By Hayne Foundation	
0001193125-25-338366	2851397	Common Shares				1176273.0				I	F7	By Spouse	
0001193125-25-338366	2851398	Common Shares				11300.0				I	F3	By Spouse through Profit Sharing Fund (401(k) Plan)	
0001193125-25-338366	2851399	Common Shares				2597268.0				I	F3, F8	By Spouse as Trustee	
0001193125-25-338366	2851395	Common Shares				185573.0				I	F6	By Trust	
0001193125-25-338366	2851394	Common Shares				23481.0				I	F3	By Profit Sharing Fund (401(k) Plan)	
0001193125-25-338363	2851432	Class I Common Shares of Beneficial Interest				18162.01				I		By Trust	
0001785797-25-000004	2851526	Common Stock				29140.0				D			
0001193125-25-338341	2851389	Common Stock				4990.0				I		By E5 Investors LLC	
0001193125-25-338340	2851386	Class I Shares				191387.56				I		By Trust	
0000091419-25-000108	2851467	Common Shares				7423.0				I		By 401(k)	F1
0000091419-25-000108	2851468	Common Shares				60000.0				I		By GRAT (2025)	
0000091419-25-000108	2851473	Common Shares				13002.0				I		By Trusts FBO Daughter	F2
0000091419-25-000108	2851472	Common Shares				13002.0				I		By Trusts FBO Son	F2
0000091419-25-000108	2851471	Common Shares				3469.0				I		By Wife	F2
0000091419-25-000108	2851470	Common Shares				41431.0				I		By Trust	
0000091419-25-000108	2851469	Common Shares				19377.0				I		By GRAT (2024)	
0001413999-25-000004	2851430	Common Shares	F1			38421.07	F2			I		By Revocable Trust	
0001430423-25-000003	2851350	Common Stock				19136.0				D			
0001287040-25-000007	2851453	Common Stock				2000.0				I		By Spouse	
0001654954-25-014434	2851447	Common Stock				69950.0				I		By Robert Hoddle Investment Holdings Ltd.	
0001855767-25-000051	2851544	Class A Common Stock				9615297.0				I		See Footnote	F4
0001916605-25-000009	2851491	Common Stock, $0.0001 par value per share				4718.0				I		By Forge Trust Co CFBO Kelly Rodriques Roth IRA	
0000906107-25-000011	2851538	Common Shares Of Beneficial Interest				2874.0	F2			I			
0000906107-25-000011	2851537	Common Shares Of Beneficial Interest				3392.0				D		Family Limited Partnership	
0001683168-25-009454	2851337	Common Stock, no par value				22785.0				D			
0001683168-25-009451	2851391	Common Stock, no par value				1.0				D			
0001683168-25-009448	2851366	Common Stock				4751.0				D			
0001638826-25-000051	2851334	Class A Common Stock				0.75				D			
0001628280-25-059219	2851522	Class U Common Stock				30745.2	F3			I		By Spouse	
0001331875-25-000171	2851508	Common Stock				90432.0				I		See Footnote	F4
0001331875-25-000171	2851507	Common Stock				115630.0				I		See Footnote	F3
0001331875-25-000171	2851506	Common Stock				253246.0				I		See Footnote	F2
0001493152-25-029796	2851502	Common Stock				27100.0	F3			D			
0001683168-25-009447	2851412	Common Stock				2308.0				I		By Support Services Group LLC	F2
0001683168-25-009445	2851364	Common Stock				1203650.0				I		By: 8 Consulting LLC	F3
0001805284-25-000174	2851484	Class L-1 common stock				675000.0				I			
0001805284-25-000174	2851482	Class L-1 common stock				2511005.0				D		by grantor retained annuity trust (GRAT)	
0001805284-25-000174	2851483	Class L-2 common stock				2361005.0				D		by grantor retained annuity trust (GRAT)	
0001805284-25-000174	2851485	Class L-2 common stock				825000.0				I			
0001311081-25-000003	2851424	Class A Common Stock, $0.01 par value				74676.0				I		See footnote	F4
0001311081-25-000003	2851425	Class B Common Stock, $0.01 par value				220250.0				I			
0001311081-25-000003	2851419	Class A Common Stock, $0.01 par value				174990.0				D		See footnote	F3
0001311081-25-000003	2851420	Class A Common Stock, $0.01 par value				924126.0				I		See footnote	F4
0001311081-25-000003	2851421	Class A Common Stock, $0.01 par value				684601.0				I		See footnote	F5
0001311081-25-000003	2851422	Class A Common Stock, $0.01 par value				124465.0				I		See footnote	F6
0001311081-25-000003	2851423	Class A Common Stock, $0.01 par value				81329.0				I		See footnote	F7
0001638826-25-000049	2851534	Class A Common Stock				0.5				D			
0001628280-25-059216	2851517	Common Stock				8082.0	F2			I		By IRA	
0001628280-25-059214	2851409	Common Stock				6555.0	F4			I		By IRA	
0001193125-25-338296	2851356	Class A Common Stock				2860.0				D			
0001628280-25-059207	2851446	Common Stock				1004.0	F4			I		By IRA	
0001628280-25-059203	2851549	Common Stock				1842.0				I		By IRA	
0001628280-25-059203	2851550	Common Stock				60.0				I		By Children	
0001493152-25-029776	2851551	Common Stock				250000.0				I		Nom Capital LTD	F1
0001493152-25-029776	2851552	Common Stock				25422072.0				I		Lucky Dog Holdings	F2
0001185533-25-000018	2851561	Series M Cumulative Preferred Shares				80000.0				I		GPJ Retirement Partners	F4
0001104659-25-125585	2851477	Common Stock, par value $0.01 per share				80000.0				I		By EBC 2013 Family Trust	
0001437749-25-039050	2851487	Common Stock				5581.0				D			
0001178913-25-004151	2851345	Ordinary Shares	F3			295.0	F4			D			
0001178913-25-004149	2851440	Ordinary Shares	F3			403.0	F4			D			
0001178913-25-004147	2851331	Ordinary Shares	F4			14721.0	F5			I		By Guangzhou Sino-Israel Biotech Fund	F3
0001178913-25-004145	2851390	Ordinary Shares	F4			14721.0	F5			I		By Guangzhou Sino-Israel Biotech Fund	F3
0000063754-25-000122	2851347	Common Stock - Voting				108838.02				D			
0001437749-25-039037	2851520	Common Stock				522.0				I			
0001437749-25-039037	2851519	Common Stock				124988.0				D		Spouse	
0000901484-25-000010	2851460	Common Stock				171125.0				I		See footnote	F1
0001437749-25-039034	2851554	Common Stock				105643.0				D			
0000891014-25-000184	2851509	Common Stock				772.87				I		By 401(k)	F2
0001406572-25-000003	2851497	Common Stock 401(k)				38214.46	F1			I			
0001406572-25-000003	2851496	Common Stock 401(k)				23119.52	F1			D		Spouse	
0001406572-25-000003	2851495	Common Stock				12241.0				I		Spouse	
0001437749-25-039025	2851481	Common Stock				3611.0	F7			I		By 401(k)	
0001437749-25-039024	2851499	Common Stock				4917.0	F7			I		By 401(k)	
0001437749-25-039023	2851411	Common Stock				17394.0	F7			I		By ESOP	
0001437749-25-039023	2851410	Common Stock				49190.0	F7			I		By 401(k)	
0001437749-25-039022	2851480	Common Stock				9200.0	F7			I		By ESOP	
0001477932-25-009268	2851524	Common Stock				50000000.0				D			
0001477932-25-009268	2851525	Preferred Series A				8000000.0				D			
0001437749-25-039018	2851476	Common Stock				3780.0	F7			I		By ESOP	
0001437749-25-039018	2851475	Common Stock				6980.0	F7			I		By 401(k)	
0001437749-25-039015	2851452	Common Stock				84687.0				I		By Spouse's IRA	
0001437749-25-039015	2851451	Common Stock				30799.0	F6			I		By ESOP	
0001437749-25-039015	2851450	Common Stock				210475.0	F6			I		By 401(k)	
0001594986-25-000044	2851478	Common Stock				301383.98	F3			D			
0001594983-25-000046	2851372	Common Stock				250.0	F1			I		Held in children's custodian trust accounts	
0001594983-25-000046	2851373	Common Stock				236690.74	F3			D			
0000063754-25-000117	2851557	Common Stock - Voting				3302.34				D			
0000708955-25-000126	2851207	Common Stock				100.0				I		UTMA Custodian for Daughter	
0000708955-25-000126	2851208	Common Stock				0.0				I		Restricted Performance	
0001628280-25-059166	2851305	Common Stock				534592.0				I		Shares held by SANDER ELECTRONIC CO., LTD., a controlled affiliate of Mr. Huang.	
0001628280-25-059166	2851304	Common Stock				42788.0				I		Shares held by Sander Electronics, a controlled affiliate of Mr. Huang.	
0001753926-25-002003	2851217	Common Stock				898317.0				I		See footnote	F4
0000807249-25-000183	2851234	Common Stock				500675.0				D			
0001553895-25-000013	2851191	Class A Common Stock				6775.0				I		PFOXFAMILY LLC	F3
0001178913-25-004136	2851151	Common Stock				460661.0	F2			I		By More Provident Funds & Pension Ltd.	
0001178913-25-004136	2851152	Common Stock				323443.0	F3			I		By More Mutual Funds Management (2013) Ltd.	
0001437749-25-038997	2851315	Common Stock				430.0				D			
0001225208-25-010220	2851235	Series A Liberty Live Group Common Stock				859.0				D		By Hilltop Investments, LLC	
0001225208-25-010220	2851236	Series C Liberty Live Group Common Stock				2083.0				D			
0001225208-25-010220	2851237	Series C Liberty Live Group Common Stock				10792.0				I			
0001225208-25-010219	2851323	Series B Liberty Live Group Common Stock	F1			73988.0				I			
0001225208-25-010219	2851324	Series C Liberty Live Group Common Stock				297194.0				I			
0001225208-25-010219	2851325	Series C Liberty Live Group Common Stock				1486.0				I			
0001225208-25-010219	2851322	Series A Liberty Live Group Common Stock				26533.0				I		Malone Starz 2015 Charitable Remainder Trust	
0001225208-25-010219	2851316	Series A Liberty Live Group Common Stock				700217.0				D		John C. Malone 1997 Charitable Remainder Unitrust	
0001225208-25-010219	2851317	Series B Liberty Live Group Common Stock	F1			2262545.0				D		John C. Malone June 2003 Charitable Remainder Unitrust	
0001225208-25-010219	2851318	Series C Liberty Live Group Common Stock				3215935.0				D		John C. Malone June 2003 Charitable Remainder Unitrust	
0001225208-25-010219	2851319	Series C Liberty Live Group Common Stock				143750.0				I		Leslie A. Malone 1995 Revocable Trust	F2
0001225208-25-010219	2851320	Series B Liberty Live Group Common Stock	F1			100137.0				I		Leslie A. Malone 1995 Revocable Trust	F2
0001225208-25-010219	2851321	Series C Liberty Live Group Common Stock				130225.0				I		Leslie A. Malone 1995 Revocable Trust	F2
0001623528-25-000003	2851312	Common Stock				3000.0				I		Kathyleen R. Smith TOD	F2
0001623528-25-000003	2851313	Common Stock				3000.0				I		Kathyleen R. Smith WFCS Custodian Trad IRA	F2
0001193125-25-337426	2851260	Class C Capital Stock				120000.0				I		The RAPP 2024 Irrevocable Trust	F6
0001193125-25-337426	2851262	Class C Capital Stock				975000.0				I		RAPP 2024 GT Trust Two	F8
0001193125-25-337426	2851261	Class C Capital Stock				200000.0				I		RAPP 2024 GT Trust One	F7
0001193125-25-337416	2851328	Class A Common Stock				8940.0				D			
0001375800-25-000005	2851263	Class A Common Stock				281085.0	F4			I		See footnote	F5
0001193125-25-337402	2851224	Common Stock				1913.0				I		See Footnote	F2
0001979088-25-000013	2851213	Common Stock				85085.0				I		2025 GRAT	F10
0001979088-25-000013	2851212	Common Stock				32716.0	F4			I		2024 GRAT	F9
0001979088-25-000013	2851214	Common Stock				100000.0	F3			I			
0001979088-25-000013	2851211	Common Stock				5086.0	F1			I		2023 GRAT	F8
0001979088-25-000013	2851210	Common Stock				38568.0				I		LLC	F7
0001979088-25-000013	2851209	Common Stock				481351.0	F4, F3, F5			D		LLC	F6
0001718218-25-000003	2851187	Common Shares of Beneficial Ownership				10250.0				I			
0001718218-25-000003	2851186	Common Shares of Beneficial Ownership				544856.0	F1			D		XA Investments LLC	
0001193125-25-337386	2851166	Class C Google Stock Units	F5			33134.0				D			
0000950103-25-016698	2851175	Class A Common Stock				2999.0				I		By Olivan Reinhold D LLC	F3
0000950103-25-016698	2851174	Class A Common Stock				8622.0				I		By Olivan D LLC	F2
0000950103-25-016698	2851176	Class A Common Stock				8622.0				I		By Reinhold D LLC	F4
0000950103-25-016698	2851177	Class A Common Stock				90493.0				I		By Olivan Reinhold Family Revocable Trust u/a/d 10/16/12	F5
0000912282-25-001472	2851195	Common Shares				15437847.0				D			
0001193125-25-337346	2851277	Class A Common Stock				227560.0				D			
0001999371-25-021397	2851276	Common shares of beneficial interest, Class I				161736.43	F3			I		See Explanation of Responses	F2, F4, F3, F5, F1
0001366574-25-000011	2851189	Class A Common Stock				19599.0				D			
0001214659-25-018631	2851200	Common Stock				61.0				I		By Ault Life Sciences Fund, LLC	F4
0001214659-25-018631	2851198	Common Stock				8260.0				I		By Ault Lending, LLC	F2
0001214659-25-018631	2851199	Common Stock				11068.0				I		By Ault Life Sciences, Inc.	F3
0001104659-25-125295	2851298	Common Stock				12109002.0	F3			I		By EOS Technology Holdings Inc.	
0000945621-25-001258	2851167	Common Shares				400000.0				D			
0001193125-25-337299	2851184	Common Stock				3249.72	F3			I		ESPP DRIP	
0001193125-25-337299	2851182	Common Stock				13100.0				D		Indirect #1	F1
0001193125-25-337299	2851183	Common Stock				29790.07				I		ESPP	
0001193125-25-337299	2851185	Common Stock				11.06	F4			I			
0001130753-25-000003	2851135	Common Stock				610000.0				I		See Note	F2
0001567627-25-000003	2851280	Common Stock				350611.0				I		See Note	F2
0001214659-25-018629	2851133	Common Stock				10000.0				I		By Alpha Structured Finance LP	F2
0001214659-25-018629	2851134	Common Stock				6000.0				I		By Ault & Company, Inc.	F3
0001902325-25-000006	2851223	Common Stock				82797.0				I		The Jerome R Bailey Revocable Living Trust	
0001743907-25-000080	2851302	Common Stock, par value $0.01 per share				322.0				D			
0001743907-25-000080	2851303	Common Stock, par value $0.01 per share				22271.0	F1			D			
0000840489-25-000139	2851274	Common Stock				39734.0				I		Family Limited Partnership	F3
0000840489-25-000139	2851273	Common Stock				45110.0				I		Spousal Trust	F2
0001959618-25-000005	2851259	Multiple Voting Shares				302.0				D			
0001628280-25-059128	2851254	Ordinary Shares				111220.0				D			
0001517413-25-000359	2851157	Class A Common Stock				2500558.0				I		See Foonote	F4
0001517413-25-000359	2851159	Class A Common Stock				109686.0				I		See Footnote	F6
0001517413-25-000359	2851160	Class A Common Stock				50481.0				I		See Footnote	F7
0001517413-25-000359	2851161	Class A Common Stock				792998.0				I		See Footnote	F8
0001517413-25-000359	2851158	Class A Common Stock				840005.0				I		See Footnote	F5
0001517413-25-000359	2851162	Class A Common Stock				156521.0				I		See Footnote	F9
0001628280-25-059121	2851240	Common Stock				2346726.0				I		See Footnote	F4
0000794170-25-000143	2851300	Common Stock				0.0				D		Spouse	
0000794170-25-000143	2851301	Common Stock				124.0				I			
0001742527-25-000005	2851326	Common Stock				18163.0				I		By Spouse	
0001158839-25-000017	2851271	Common Stock				164678.0				I	F3, F2		
0001158839-25-000017	2851269	Common Stock				7828682.0				I	F3, F2	By John T. Kim G-S Trust dtd. 12/11/12	
0001158839-25-000017	2851270	Common Stock				1957350.0				I	F3, F2	By self as Trustee of Trust U/A dtd. 12/11/12	
0001158839-25-000017	2851268	Common Stock				61645.0				D		By John T. Kim Family Trust U/A dtd. 12/11/12	
0001158926-25-000014	2851145	Common Stock				19484809.0				I	F4, F3, F2	By Kim Capital Partners - KCP, LLC	
0001158926-25-000014	2851144	Common Stock				39594980.0				I	F4, F3, F2	By Sujochil, LP	
0001158926-25-000014	2851143	Common Stock				5594489.0				D		By 915 Investments, LP	
0001158926-25-000014	2851146	Common Stock				16710668.0				I	F4, F3, F2	By Sujoda Investments, LP	
0001158926-25-000014	2851147	Common Stock				3789479.0				I	F4, F3, F5, F2	By own GRATs	
0001158926-25-000014	2851148	Common Stock				1253250.0				I	F4, F3, F2		
0001158922-25-000021	2851252	Common Stock				895000.0				I	F4, F3, F2		
0001158922-25-000021	2851251	Common Stock				1235000.0				I	F4, F3, F2	By Agnes C. Kim 2024 GRAT dtd. 8/5/24	
0001158922-25-000021	2851250	Common Stock				2538000.0				I	F4, F3, F2	By James J. Kim 2024 GRAT dtd. 8/5/24	
0001158922-25-000021	2851249	Common Stock				3244594.0				I	F4, F3, F2	2025 Grantor Retained Annuity Trust No. 1 of Agnes C. Kim	
0001158922-25-000021	2851248	Common Stock				3713610.0				I	F4, F3, F2	2025 Grantor Retained Annuity Trust No. 1 of James J. Kim	
0001158922-25-000021	2851247	Common Stock				3789479.0				I	F4, F3, F5, F2	By trusts (excl. GRATs)	
0001158922-25-000021	2851246	Common Stock				6090494.0				D		By Sujoda Investments, LP	
0001158922-25-000021	2851245	Common Stock				16710668.0				I	F4, F3, F2	By Kim Capital Partners - KCP, LLC	
0001158922-25-000021	2851244	Common Stock				19484809.0				I	F4, F3, F2	By Sujochil, LP	
0001158840-25-000017	2851272	Common Stock				0.0				D			
0001728557-25-000007	2851137	Super Voting Shares				1589.0				I		By ABG LLC	
0001728557-25-000007	2851139	Subordinate Voting Shares				760576.0				D			
0001728557-25-000007	2851140	Subordinate Voting Shares				18364.0				I		By ABG LLC	
0001728557-25-000007	2851141	Subordinate Voting Shares				1728.0				I		By Three One Four Holdings LLC	
0001728557-25-000007	2851138	Super Voting Shares				1333.0				I		By Three One Four Holdings LLC	
0001209992-25-000015	2851253	Common Stock				901.0	F1			I		By Children	
0000354950-25-000253	2851206	$.05 Common Stock				60.0				I		By Spouse	
0000897069-25-001846	2851239	Common Stock				182861.0				D			
0001817271-25-000005	2851329	Common Stock				5056.0				I		By:  Wife	
0001817271-25-000005	2851330	Common Stock				150000.0				I	F2	By:  Fregenal 2020 Irrevocable Trust	
0000320187-25-000156	2851314	Class B Common Stock				8335687.0				D			
0001673232-25-000018	2851306	Common Stock				2648.0				D			
0001550608-25-000011	2851170	Common Stock				869.0				I		By revocable trusts	
0001550608-25-000011	2851169	Common Stock				716.0				I		By irrevocable trust	
0001628280-25-059114	2851284	Common Stock				5240.0				I		By ESOP	
0001628280-25-059114	2851285	Common Stock				40298.0				I		By Spouse	
0001803392-25-000015	2851310	Subordinate Voting Shares				158130.0				I		By Outsiders Capital LLC	
0001803392-25-000015	2851308	Super Voting Shares				5000.0				I		By BK 2021 Descendant Trust	
0001803392-25-000015	2851307	Super Voting Shares				80642.0				I		By Outsiders Capital LLC	
0001803392-25-000015	2851309	Subordinate Voting Shares				692521.0				D			
0001803392-25-000015	2851311	Subordinate Voting Shares				66.0				I		KP Capital, LLC	
0001193125-25-337156	2851279	Common Stock				1490.0				I		Held in 401(k) Plan	
0001193125-25-337155	2851238	Common Stock				670.0				I		Held in 401(k) Plan	
0001193125-25-337154	2851215	Common Stock				6100.0				I		Held in 401(k) Plan	
0001193125-25-337153	2851204	Common Stock				117427.0				I		Held in Grantor Retained Annuity Trust	
0001193125-25-337153	2851203	Common Stock				86750.0				I		Held in Grantor Retained Annuity Trust	
0001193125-25-337153	2851202	Common Stock				46538.0				I		Held in Grantor Retained Annuity Trust	
0001193125-25-337153	2851201	Common Stock				28806.0				I		Held in 401(k) Plan	
0001193125-25-337152	2851255	Common Stock				1556.0				I		Held in 401(k) Plan	
0001193125-25-337151	2851205	Common Stock				212.0				I		Held in 401(k) Plan	
0001827672-25-000007	2851299	Common Stock				1750.0				D			
0000892251-25-000228	2851218	Common Stock				33505548.0				I		By Limited Liability Limited Partnership	F3
0000892251-25-000228	2851219	Common Stock				20656552.0				I		By Limited Liability Companies	F4
0000892251-25-000228	2851222	Common Stock				4752.0				I		by ESOP	
0000892251-25-000228	2851221	Common Stock				18304.0				I		By Spouse	
0000892251-25-000228	2851220	Common Stock				335520.0				I		By Limited Partnership	F5
0001788807-25-000007	2851197	Common Stock				28838.0				I		Herzog Living Trust	
0001743907-25-000076	2851188	Common Stock, par value $0.01 per share				35014.0	F1			D			
0002001011-25-000133	2851267	Common Stock				534675.0				I		By Abalone Cove LLLP	F1
0001193125-25-337097	2851136	Common Stock				1448656.0	F1			D			
0001193125-25-337095	2851142	Common Stock				21733867.0				I		By Longview Grindr Holdings Limited	F1
0001437749-25-038936	2851283	Class A Common Stock				6842.0	F3			I		By Spouse	
0001437749-25-038934	2851190	Class A common stock, par value $0.001 per share	F1			9644.0				D			
0000750577-25-000019	2851194	Common Stock				1177.0				I		Spouse	
0000750577-25-000019	2851193	Common Stock				600.0				I		Childrens Trust	
0001613801-25-000042	2851153	Common Stock				162950.0				I		By Roger E. Susi Revocable Trust	
0001613801-25-000042	2851154	Common Stock				2062500.0	F4			I		By Matthew Susi 2008 Dynasty Trust	
0001675457-25-000011	2851192	Common Class A - Retirement Plan				7190.0				D			
0001599725-25-000013	2851275	Common Class A - Retirement Plan				8461.0				D			
0001626259-25-000013	2851181	Common Class A - Retirement Plan				9275.0				D			
0001708000-25-000014	2851172	Common Class A				38423.0	F1			I		See Footnote	F1
